period_type,period_value,field_name,total_records_n,missing_records_n,non_missing_records_n,missing_pct
crashFinancialYear,2006/2007,fatalCount,40825,0,40825,0
crashFinancialYear,2006/2007,meshblockId,40825,0,40825,0
crashFinancialYear,2006/2007,minorInjuryCount,40825,0,40825,0
crashFinancialYear,2006/2007,seriousInjuryCount,40825,0,40825,0
crashFinancialYear,2006/2007,speedLimit,40825,0,40825,0
crashFinancialYear,2006/2007,tlaId,40825,0,40825,0
crashFinancialYear,2006/2007,tlaName,40825,0,40825,0
crashFinancialYear,2007/2008,region,41119,132,40987,0.321
crashFinancialYear,2007/2008,NumberOfLanes,41119,4,41115,0.0097
crashFinancialYear,2007/2008,directionRoleDescription,41119,1,41118,0.0024
crashFinancialYear,2007/2008,areaUnitID,41119,0,41119,0
crashFinancialYear,2007/2008,crashLocation2,41119,0,41119,0
crashFinancialYear,2007/2008,fatalCount,41119,0,41119,0
crashFinancialYear,2007/2008,meshblockId,41119,0,41119,0
crashFinancialYear,2007/2008,minorInjuryCount,41119,0,41119,0
crashFinancialYear,2007/2008,seriousInjuryCount,41119,0,41119,0
crashFinancialYear,2007/2008,speedLimit,41119,0,41119,0
crashFinancialYear,2007/2008,tlaId,41119,0,41119,0
crashFinancialYear,2007/2008,tlaName,41119,0,41119,0
crashFinancialYear,2008/2009,region,38826,138,38688,0.3554
crashFinancialYear,2008/2009,NumberOfLanes,38826,4,38822,0.0103
crashFinancialYear,2008/2009,directionRoleDescription,38826,3,38823,0.0077
crashFinancialYear,2008/2009,areaUnitID,38826,0,38826,0
crashFinancialYear,2008/2009,crashLocation2,38826,0,38826,0
crashFinancialYear,2008/2009,fatalCount,38826,0,38826,0
crashFinancialYear,2008/2009,meshblockId,38826,0,38826,0
crashFinancialYear,2008/2009,minorInjuryCount,38826,0,38826,0
crashFinancialYear,2008/2009,seriousInjuryCount,38826,0,38826,0
crashFinancialYear,2008/2009,speedLimit,38826,0,38826,0
crashFinancialYear,2008/2009,tlaId,38826,0,38826,0
crashFinancialYear,2008/2009,tlaName,38826,0,38826,0
crashFinancialYear,2009/2010,region,37209,186,37023,0.4999
crashFinancialYear,2009/2010,NumberOfLanes,37209,14,37195,0.0376
crashFinancialYear,2009/2010,directionRoleDescription,37209,3,37206,0.0081
crashFinancialYear,2009/2010,areaUnitID,37209,0,37209,0
crashFinancialYear,2009/2010,crashLocation2,37209,0,37209,0
crashFinancialYear,2009/2010,fatalCount,37209,0,37209,0
crashFinancialYear,2009/2010,meshblockId,37209,0,37209,0
crashFinancialYear,2009/2010,minorInjuryCount,37209,0,37209,0
crashFinancialYear,2009/2010,seriousInjuryCount,37209,0,37209,0
crashFinancialYear,2009/2010,speedLimit,37209,0,37209,0
crashFinancialYear,2009/2010,tlaId,37209,0,37209,0
crashFinancialYear,2009/2010,tlaName,37209,0,37209,0
crashFinancialYear,2010/2011,region,35413,155,35258,0.4377
crashFinancialYear,2010/2011,NumberOfLanes,35413,26,35387,0.0734
crashFinancialYear,2010/2011,directionRoleDescription,35413,10,35403,0.0282
crashFinancialYear,2010/2011,areaUnitID,35413,0,35413,0
crashFinancialYear,2010/2011,crashLocation2,35413,0,35413,0
crashFinancialYear,2010/2011,fatalCount,35413,0,35413,0
crashFinancialYear,2010/2011,meshblockId,35413,0,35413,0
crashFinancialYear,2010/2011,minorInjuryCount,35413,0,35413,0
crashFinancialYear,2010/2011,seriousInjuryCount,35413,0,35413,0
crashFinancialYear,2010/2011,speedLimit,35413,0,35413,0
crashFinancialYear,2010/2011,tlaId,35413,0,35413,0
crashFinancialYear,2010/2011,tlaName,35413,0,35413,0
crashFinancialYear,2011/2012,region,30705,129,30576,0.4201
crashFinancialYear,2011/2012,NumberOfLanes,30705,46,30659,0.1498
crashFinancialYear,2011/2012,directionRoleDescription,30705,9,30696,0.0293
crashFinancialYear,2011/2012,crashLocation2,30705,1,30704,0.0033
crashFinancialYear,2011/2012,areaUnitID,30705,0,30705,0
crashFinancialYear,2011/2012,fatalCount,30705,0,30705,0
crashFinancialYear,2011/2012,meshblockId,30705,0,30705,0
crashFinancialYear,2011/2012,minorInjuryCount,30705,0,30705,0
crashFinancialYear,2011/2012,seriousInjuryCount,30705,0,30705,0
crashFinancialYear,2011/2012,speedLimit,30705,0,30705,0
crashFinancialYear,2011/2012,tlaId,30705,0,30705,0
crashFinancialYear,2011/2012,tlaName,30705,0,30705,0
crashFinancialYear,2012/2013,region,30008,105,29903,0.3499
crashFinancialYear,2012/2013,directionRoleDescription,30008,4,30004,0.0133
crashFinancialYear,2012/2013,NumberOfLanes,30008,2,30006,0.0067
crashFinancialYear,2012/2013,crashLocation2,30008,2,30006,0.0067
crashFinancialYear,2012/2013,areaUnitID,30008,0,30008,0
crashFinancialYear,2012/2013,fatalCount,30008,0,30008,0
crashFinancialYear,2012/2013,meshblockId,30008,0,30008,0
crashFinancialYear,2012/2013,minorInjuryCount,30008,0,30008,0
crashFinancialYear,2012/2013,seriousInjuryCount,30008,0,30008,0
crashFinancialYear,2012/2013,speedLimit,30008,0,30008,0
crashFinancialYear,2012/2013,tlaId,30008,0,30008,0
crashFinancialYear,2012/2013,tlaName,30008,0,30008,0
crashFinancialYear,2013/2014,region,29965,97,29868,0.3237
crashFinancialYear,2013/2014,NumberOfLanes,29965,17,29948,0.0567
crashFinancialYear,2013/2014,directionRoleDescription,29965,1,29964,0.0033
crashFinancialYear,2013/2014,areaUnitID,29965,0,29965,0
crashFinancialYear,2013/2014,crashLocation2,29965,0,29965,0
crashFinancialYear,2013/2014,fatalCount,29965,0,29965,0
crashFinancialYear,2013/2014,meshblockId,29965,0,29965,0
crashFinancialYear,2013/2014,minorInjuryCount,29965,0,29965,0
crashFinancialYear,2013/2014,seriousInjuryCount,29965,0,29965,0
crashFinancialYear,2013/2014,speedLimit,29965,0,29965,0
crashFinancialYear,2013/2014,tlaId,29965,0,29965,0
crashFinancialYear,2013/2014,tlaName,29965,0,29965,0
crashFinancialYear,2014/2015,region,30608,108,30500,0.3528
crashFinancialYear,2014/2015,NumberOfLanes,30608,67,30541,0.2189
crashFinancialYear,2014/2015,directionRoleDescription,30608,4,30604,0.0131
crashFinancialYear,2014/2015,areaUnitID,30608,0,30608,0
crashFinancialYear,2014/2015,crashLocation2,30608,0,30608,0
crashFinancialYear,2014/2015,fatalCount,30608,0,30608,0
crashFinancialYear,2014/2015,meshblockId,30608,0,30608,0
