OBJECTID,issue_category,check_name,field_name,issue_level,issue_detail
129047,completeness,core_field_missing,region,warning,region is missing
129260,completeness,core_field_missing,region,warning,region is missing
129367,completeness,core_field_missing,region,warning,region is missing
129509,completeness,core_field_missing,region,warning,region is missing
129691,completeness,core_field_missing,region,warning,region is missing
129694,completeness,core_field_missing,region,warning,region is missing
129816,completeness,core_field_missing,region,warning,region is missing
130367,completeness,core_field_missing,region,warning,region is missing
130372,completeness,core_field_missing,region,warning,region is missing
130440,completeness,core_field_missing,region,warning,region is missing
130558,completeness,core_field_missing,region,warning,region is missing
130801,completeness,core_field_missing,region,warning,region is missing
130948,completeness,core_field_missing,region,warning,region is missing
131434,completeness,core_field_missing,region,warning,region is missing
131543,completeness,core_field_missing,region,warning,region is missing
131816,completeness,core_field_missing,region,warning,region is missing
132025,completeness,core_field_missing,region,warning,region is missing
132098,completeness,core_field_missing,region,warning,region is missing
132365,completeness,core_field_missing,region,warning,region is missing
132519,completeness,core_field_missing,region,warning,region is missing
133153,completeness,core_field_missing,region,warning,region is missing
133175,completeness,core_field_missing,region,warning,region is missing
133258,completeness,core_field_missing,region,warning,region is missing
133322,completeness,core_field_missing,region,warning,region is missing
133587,completeness,core_field_missing,region,warning,region is missing
133995,completeness,core_field_missing,region,warning,region is missing
134050,completeness,core_field_missing,region,warning,region is missing
134075,completeness,core_field_missing,region,warning,region is missing
134206,completeness,core_field_missing,region,warning,region is missing
134451,completeness,core_field_missing,region,warning,region is missing
134570,completeness,core_field_missing,region,warning,region is missing
134756,completeness,core_field_missing,region,warning,region is missing
134783,completeness,core_field_missing,region,warning,region is missing
134826,completeness,core_field_missing,region,warning,region is missing
135027,completeness,core_field_missing,region,warning,region is missing
135115,completeness,core_field_missing,region,warning,region is missing
135151,completeness,core_field_missing,region,warning,region is missing
135325,completeness,core_field_missing,region,warning,region is missing
135373,completeness,core_field_missing,region,warning,region is missing
136041,completeness,core_field_missing,region,warning,region is missing
136156,completeness,core_field_missing,region,warning,region is missing
136574,completeness,core_field_missing,region,warning,region is missing
136982,completeness,core_field_missing,region,warning,region is missing
137363,completeness,core_field_missing,region,warning,region is missing
137527,completeness,core_field_missing,region,warning,region is missing
137664,completeness,core_field_missing,region,warning,region is missing
138838,completeness,core_field_missing,region,warning,region is missing
138908,completeness,core_field_missing,region,warning,region is missing
138921,completeness,core_field_missing,region,warning,region is missing
139587,completeness,core_field_missing,region,warning,region is missing
140099,completeness,core_field_missing,region,warning,region is missing
140109,completeness,core_field_missing,region,warning,region is missing
140134,completeness,core_field_missing,region,warning,region is missing
140151,completeness,core_field_missing,region,warning,region is missing
140551,completeness,core_field_missing,region,warning,region is missing
140687,completeness,core_field_missing,region,warning,region is missing
141296,completeness,core_field_missing,region,warning,region is missing
141515,completeness,core_field_missing,region,warning,region is missing
141751,completeness,core_field_missing,region,warning,region is missing
141773,completeness,core_field_missing,region,warning,region is missing
141834,completeness,core_field_missing,region,warning,region is missing
142449,completeness,core_field_missing,region,warning,region is missing
142715,completeness,core_field_missing,region,warning,region is missing
142752,completeness,core_field_missing,region,warning,region is missing
142866,completeness,core_field_missing,region,warning,region is missing
143274,completeness,core_field_missing,region,warning,region is missing
143515,completeness,core_field_missing,region,warning,region is missing
143531,completeness,core_field_missing,region,warning,region is missing
143672,completeness,core_field_missing,region,warning,region is missing
143901,completeness,core_field_missing,region,warning,region is missing
143968,completeness,core_field_missing,region,warning,region is missing
143988,completeness,core_field_missing,region,warning,region is missing
144303,completeness,core_field_missing,region,warning,region is missing
144482,completeness,core_field_missing,region,warning,region is missing
144819,completeness,core_field_missing,region,warning,region is missing
144841,completeness,core_field_missing,region,warning,region is missing
144917,completeness,core_field_missing,region,warning,region is missing
145698,completeness,core_field_missing,region,warning,region is missing
145740,completeness,core_field_missing,region,warning,region is missing
146160,completeness,core_field_missing,region,warning,region is missing
146187,completeness,core_field_missing,region,warning,region is missing
146240,completeness,core_field_missing,region,warning,region is missing
146306,completeness,core_field_missing,region,warning,region is missing
146327,completeness,core_field_missing,region,warning,region is missing
146398,completeness,core_field_missing,region,warning,region is missing
146456,completeness,core_field_missing,region,warning,region is missing
146531,completeness,core_field_missing,region,warning,region is missing
147159,completeness,core_field_missing,region,warning,region is missing
147172,completeness,core_field_missing,region,warning,region is missing
147610,completeness,core_field_missing,region,warning,region is missing
147797,completeness,core_field_missing,region,warning,region is missing
147892,completeness,core_field_missing,region,warning,region is missing
148078,completeness,core_field_missing,region,warning,region is missing
148287,completeness,core_field_missing,region,warning,region is missing
148321,completeness,core_field_missing,region,warning,region is missing
148876,completeness,core_field_missing,region,warning,region is missing
148898,completeness,core_field_missing,region,warning,region is missing
148942,completeness,core_field_missing,region,warning,region is missing
148956,completeness,core_field_missing,region,warning,region is missing
